timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610139541778,570,Buat Instance,200,OK,Scenario 1 1-25,text,true,,15626,321,16,16,http://192.168.1.10:5005/buatbaru,474,0,42
1610139541849,678,Buat Instance,200,OK,Scenario 1 1-26,text,true,,15626,321,16,16,http://192.168.1.10:5005/buatbaru,582,0,40
1610139542289,254,Page Returning 404,404,NOT FOUND,Scenario 1 1-13,text,true,,393,317,16,16,http://192.168.1.10:5005/test,254,0,130
1610139541973,760,Buat Instance,200,OK,Scenario 1 1-17,text,true,,15626,321,15,15,http://192.168.1.10:5005/buatbaru,643,0,64
1610139541950,856,Buat Instance,200,OK,Scenario 1 1-22,text,true,,15626,321,15,15,http://192.168.1.10:5005/buatbaru,764,0,87
1610139541940,877,Buat Instance,200,OK,Scenario 1 1-20,text,true,,15626,321,15,15,http://192.168.1.10:5005/buatbaru,810,0,56
1610139541990,827,Buat Instance,200,OK,Scenario 1 1-21,text,true,,15626,321,15,15,http://192.168.1.10:5005/buatbaru,745,0,100
1610139541910,1004,Buat Instance,200,OK,Scenario 1 1-18,text,true,,15626,321,16,16,http://192.168.1.10:5005/buatbaru,885,0,62
1610139541950,964,Buat Instance,200,OK,Scenario 1 1-15,text,true,,15626,321,16,16,http://192.168.1.10:5005/buatbaru,812,0,80
1610139541886,1031,Buat Instance,200,OK,Scenario 1 1-27,text,true,,15626,321,16,16,http://192.168.1.10:5005/buatbaru,569,0,53
1610139542818,135,Page Returning 404,404,NOT FOUND,Scenario 1 1-14,text,true,,393,317,16,16,http://192.168.1.10:5005/test,135,0,96
1610139542879,161,Page Returning 404,404,NOT FOUND,Scenario 1 1-16,text,true,,393,317,15,15,http://192.168.1.10:5005/test,161,0,65
1610139542895,145,Page Returning 404,404,NOT FOUND,Scenario 1 1-24,text,true,,393,317,15,15,http://192.168.1.10:5005/test,145,0,50
1610139542889,151,Page Returning 404,404,NOT FOUND,Scenario 1 1-19,text,true,,393,317,15,15,http://192.168.1.10:5005/test,151,0,55
1610139542317,804,Page Returning 404,404,NOT FOUND,Scenario 1 1-23,text,true,,393,317,15,15,http://192.168.1.10:5005/test,803,0,113
1610139542890,372,Home Page,200,OK,Scenario 1 1-29,text,true,,51151,313,15,15,http://192.168.1.10:5005/,150,0,54
1610139543041,477,Home Page,200,OK,Scenario 1 1-24,text,true,,51151,313,15,15,http://192.168.1.10:5005/,145,0,89
1610139543041,477,Home Page,200,OK,Scenario 1 1-16,text,true,,51151,313,15,15,http://192.168.1.10:5005/,161,0,89
1610139543041,477,Home Page,200,OK,Scenario 1 1-19,text,true,,51151,313,15,15,http://192.168.1.10:5005/,181,0,89
1610139543263,270,dashboard,200,OK,Scenario 1 1-29,text,true,,12429,322,15,15,http://192.168.1.10:5005/dashboard,257,0,117
1610139542308,1297,dashboard,200,OK,Scenario 1 1-28,text,true,,12429,322,15,15,http://192.168.1.10:5005/dashboard,973,0,111
1610139543416,212,Page Returning 404,404,NOT FOUND,Scenario 1 1-25,text,true,,393,317,15,15,http://192.168.1.10:5005/test,212,0,104
